instance,CM lib,RCM lib,CM,RCM,CM Random node,RCM Random node,CM max degree node,RCM max degree node
can_445,153,153,398,398,378,401,419,419
can_838,299,299,775,775,772,759,803,803
bp_0,1031,1031,806,806,776,777,804,804
gre__512,73,73,408,408,471,471,487,487
dwt_310,31,31,295,295,264,259,300,300
fs_680_1,49,49,603,603,625,627,649,649
dwt_503,129,129,424,424,436,435,442,442
dwt_209,67,67,198,198,171,175,199,199
dwt_878,93,93,844,844,776,801,871,871
gre_216a,43,43,176,176,189,193,199,199
dwt_419,69,69,392,392,372,370,367,367
494_bus,137,137,459,459,431,432,478,478
bp_1200,1099,1099,819,819,783,783,803,803
impcol_a,121,121,188,188,182,179,198,198
bcsstk06,101,101,378,378,356,348,370,370
bcspwr05,131,131,413,413,392,386,428,428
fs_760_1,83,83,747,747,702,710,728,728
dwt_992,131,131,961,961,865,874,854,854
bp_1600,1079,1079,813,813,782,786,799,799
685_bus,205,205,637,637,616,624,650,650
impcol_d,141,141,401,401,388,390,408,408
bp_1000,1071,1071,810,810,782,781,801,801
gr_30_30,119,119,884,884,818,828,759,759
bp_400,999,999,811,811,784,778,787,787
fs_541_1,1071,1071,535,535,529,529,540,540
can_292,141,141,261,261,249,256,268,268
bp_600,1075,1075,808,808,785,784,793,793
bcsstk19,45,45,801,801,733,738,678,678
662_bus,237,237,639,639,596,600,637,637
dwt_592,85,85,580,580,531,534,532,532
impcol_e,151,151,208,208,197,203,207,207
bp_800,1085,1085,806,806,775,781,809,809
can_715,271,271,711,711,655,665,444,444
gre__343,57,57,316,316,307,311,310,310
dwt_221,39,39,214,214,187,181,217,217
ash292,65,65,258,258,256,248,286,286
dwt_245,111,111,243,243,210,213,219,219
bcsstk20,41,41,325,325,389,397,430,430
bcsstm07,111,111,384,384,364,354,369,369
bp_1400,1095,1095,813,813,783,787,803,803
bcspwr04,101,101,264,264,226,235,248,248
bp_200,1019,1019,811,811,779,783,806,806
dwt_361,31,31,339,339,309,318,50,50
dwt_918,115,115,877,877,842,849,857,857
hor__131,169,169,415,415,388,390,429,429
